"
",>>>>>,Lower,Left,<<<<<,"
Passed,-0.0418668072865039,-0.014141984002044293,2.0,394.0,198.0,196.0,"Honoring the Ultimate Sacrifice Made by 28 U.S. Soldiers Killed by an Iraqi Missile Attack on February 25, 1991, During Operation Desert Storm, On Motion to Suspend the Rules and Agree"
Passed,-0.04312627154245762,-0.014792545796016838,2.0,404.0,203.0,201.0,"Family Farmer Bankruptcy Relief Extension, On Motion to Suspend the Rules and Pass"
Passed,-0.043745157527139554,-0.014185843477644011,8.0,410.0,209.0,201.0,"Edward N. Cahn Federal Building and United States Courthouse Designation, On Motion to Suspend the Rules and Pass"
Passed,-0.04390092002073955,-0.013959789964046284,9.0,411.0,210.0,201.0,"James C. Corman Federal Building Designation, On Motion to Suspend the Rules and Pass"
Passed,-0.04386299874982961,-0.014349238604382003,6.0,410.0,208.0,202.0,"Honoring the National Institute of Standards and Technology and its Employees for 100 Years of Service to the Nation, On Motion to Suspend the Rules and Agree"
Passed,-0.04349950799101673,-0.014566036163300782,5.0,409.0,207.0,202.0,"Commending African American Pioneers in Colorado, On Motion to Suspend the Rules and Agree"
Passed,-0.04241865646092836,-0.014811247043623613,-1.0,397.0,198.0,199.0,"To Authorize Appropriations to Carry Out Part B of Title I of the Energy Policy and Conservation Act, relating to the Strategic Petroleum Reserve, On Motion to Suspend the Rules and Pass"
Passed,-0.04281200191556843,-0.014052081481052121,5.0,399.0,202.0,197.0,"To Amend the Consumer Product Safety Act to Provide that Low-Speed Electric Bicycles are Consumer Products Subject to Such Act, On Motion to Suspend the Rules and Pass"
Passed,-0.04433806549261311,-0.01499118547305905,4.0,416.0,210.0,206.0,"Expressing the sense of the Congress regarding the importance of organ, tissue, bone marrow, and blood donation and supporting National Donor Day., On Motion to Suspend the Rules and Agree"
Passed,-0.042872464256112575,-0.016042311553270787,-8.0,402.0,197.0,205.0,"Organ Donation Improvement Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.043802015473351226,-0.01499014445938272,3.0,411.0,207.0,204.0,"Honoring the 21 members of the National Guard who were killed in the crash of a National Guard aircraft on March 3, 2001, in south-central Georgia., On Motion to Suspend the Rules and Agree"
Passed,-0.04351066486782796,-0.014057892411405882,8.0,404.0,206.0,198.0,"National Trails System Willing Seller Act, On Motion to Suspend the Rules and Pass"
Passed,-0.04412830524330784,-0.01365855195422334,13.0,411.0,212.0,199.0,"To amend the Clear Creek County, Colorado, Public Lands Transfer Act, On Motion to Suspend the Rules and Pass"
Passed,-0.04344536925940021,-0.014119414309430542,6.0,402.0,204.0,198.0,"Made in America Information Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.04414857104620781,-0.013748675678324104,11.0,411.0,211.0,200.0,"To Make Technical Amendments to Section 10 of Title 9, United States Code, On Motion to Suspend the Rules and Pass"
Passed,-0.044531492053663246,-0.015017101523620941,4.0,416.0,210.0,206.0,"Small Business Paperwork Relief Act, On Passage"
Passed,-0.04348338778821379,-0.013704339834358807,13.0,403.0,208.0,195.0,"Recognizing the importance of combatting tuberculosis on a worldwide basis, and acknowledging the severe impact that TB has on minority population in the United States, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.04359530959770924,-0.013403132769980576,14.0,402.0,208.0,194.0,"Expressing sympathy for the victims of the devastating earthquakes that struck El Salvador on January 13, 2001, and February 13, 2001, and supporting ongoing aid efforts, On Motion to Suspend the Rules and Agree"
Passed,-0.044186687903974314,-0.015113970176475151,3.0,411.0,207.0,204.0,"Authorizing the Printing of a Revised and Updated Version of the House Document Entitled “Black Americans in Congress, 1870-1989”, On Motion to Suspend the Rules and Agree"
Passed,-0.04402253263128858,-0.015109370744226393,4.0,410.0,207.0,203.0,"To Prevent the Elimination of Certain Reports, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.044190573176524466,-0.015228447093696263,4.0,410.0,207.0,203.0,"Maritime Policy Improvement Act, On Motion to Suspend the Rules and Pass"
Passed,-0.044467211159565964,-0.013968065066868807,11.0,413.0,212.0,201.0,"Coast Guard Personnel and Maritime Safety Act, On Motion to Suspend the Rules and Pass"
Passed,-0.04437133971580592,-0.014070268594460937,10.0,412.0,211.0,201.0,"Public Safety Officer Medal of Valor Act, On Motion to Suspend the Rules and Pass, as Amended"
Agreed to,-0.04238108906110363,-0.013709053998803709,8.0,394.0,201.0,193.0,", Traficant of Ohio Amendment"
Passed,-0.042179795110868536,-0.015644393875827733,-5.0,393.0,194.0,199.0,"Tornado Shelters Act, On Passage"
Passed,-0.044617935224511615,-0.014023859633259925,13.0,415.0,214.0,201.0,"Veterans Opportunities Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.044668422095137716,-0.013942807497145685,13.0,415.0,214.0,201.0,"Veterans Hospital Emergency Repair Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.044203282237452915,-0.014774547827453964,6.0,412.0,209.0,203.0,"Need-Based Educational Aid Act, On Motion to Suspend the Rules and Pass"
Passed,-0.043497940564712775,-0.012781275314588225,16.0,398.0,207.0,191.0,"Urging the appropriate representative of the US to the UN Commission on Human Rights to introduce at the annual meeting of the Commission a resolution calling upon China to end its human rights violations in China and Tibet, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.044285397582248295,-0.013839032034850502,11.0,411.0,211.0,200.0,"Authorizing the Printing of a Revised and Updated Version of the House Document Entitled “Women in Congress, 1917-1990”, On Motion to Suspend the Rules and Agree"
Passed,-0.04393252348482574,-0.009925537486120977,35.0,399.0,217.0,182.0,"Providing for consideration of H.R. 8; Death Tax Elimination Act of 2001, On Agreeing to the Resolution"
Passed,-0.041970179748903255,-0.016981005840594067,-17.0,391.0,187.0,204.0,"To reauthorize the Chesapeake Bay Office of the National Oceanic and Atmospheric Administration, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.0435148420924688,-0.013854624323910308,11.0,405.0,208.0,197.0,"Concerning the participation of Taiwan in the World Health Organization, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.044666529351349946,-0.014251410815996814,11.0,415.0,213.0,202.0,"Recognizing the importance of increasing awareness of the autism spectrum disorder, and supporting programs for greater research and improved treatment of autism, On Motion to Suspend the Rules and Agree"
Passed,-0.043482862552936596,-0.010184775311181848,34.0,396.0,215.0,181.0,"Supporting a National Charter Schools Week, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.04388870614851962,-0.01277997229198972,18.0,406.0,212.0,194.0,"Providing for recommittal of the conference report to accompany H.Con.Res. 83, Establishing the Congressional Budget for the U.S. Government for F.Y. 2002, On Agreeing to the Resolution"
Passed,-0.041910108562471945,-0.010279699745287389,29.0,383.0,206.0,177.0,"To expedite the construction of the World War II memorial in the District of Columbia, On Motion to Suspend the Rules and Pass"
Passed,-0.04437686259328345,-0.013989324792383092,12.0,414.0,213.0,201.0,"Commemorating the dedication and sacrifices of the men and women of the United States who were killed or disabled while serving as law enforcement officers, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.044703419550208914,-0.014170581804656988,11.0,417.0,214.0,203.0,"Fallen Hero Survivor Benefit Fairness Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.044842120477825244,-0.01409606730323949,12.0,418.0,215.0,203.0,"Fairness for Foster Care Families Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.044386755584708684,-0.013669334643232377,13.0,413.0,213.0,200.0,"Concerning the participation of Taiwan in the World Health Organization, On Motion to Suspend the Rules and Agree to Senate Amendment"
Passed,-0.044318631868214824,-0.01423341724743985,8.0,412.0,210.0,202.0,"Providing for consideration of H.R. 622, Hope for Children Act, On Agreeing to the Resolution"
Passed,-0.04484336161488418,-0.014494323174140471,8.0,418.0,213.0,205.0,"Hope for Children Act, On Passage"
Passed,-0.039490139151161806,-0.013374168891002472,1.0,367.0,184.0,183.0,"Expressing the sense of the Congress regarding National Pearl Harbor Remembrance Day, On Motion to Suspend the Rules and Agree"
Agreed to,-0.044655286454634326,-0.015139025343036794,5.0,417.0,211.0,206.0,", On Agreeing to the Amendment"
Agreed to,-0.045096797441796614,-0.014756008007390527,8.0,420.0,214.0,206.0,", On Agreeing to the Amendment"
Agreed to,-0.044492736791930804,-0.015249832080467669,5.0,415.0,210.0,205.0,", On Agreeing to the Amendment"
Passed,-0.04485380444848684,-0.014001588183787259,13.0,417.0,215.0,202.0,"Small Business Liability Protection Act, On Motion to Suspend the Rules and Pass"
Agreed to,-0.04344489425605464,-0.01591739910110297,-4.0,404.0,200.0,204.0,", On Agreeing to the Amendment"
Agreed to,-0.04516386991269441,-0.014736335286221106,8.0,420.0,214.0,206.0,", On Agreeing to the Amendment"
Passed,-0.043615761822174,-0.013499286992697215,12.0,404.0,208.0,196.0,"Commending Clear Channel Communications and the American Football Coaches Association for their dedication and efforts for protecting children by providing a vital means for locating the Nation’s missing, kidnapped, and runaway children., On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.04377988473061062,-0.013381238085815917,14.0,406.0,210.0,196.0,"Designating the Elwood Haynes “Bud” Hillis Post Office Building in Kokomo, Indiana., On Motion to Suspend the Rules and Pass"
Passed,-0.04451363232380439,-0.014221116155547874,11.0,415.0,213.0,202.0,"Child Status Protection Act, On Motion to Suspend the Rules and Pass, As Amended"
Passed,-0.043996268912906054,-0.014205117710653008,9.0,409.0,209.0,200.0,"Farmer Bankruptcy Code Extension Act, On Motion to Suspend the Rules and Pass"
Passed,-0.04403231266615456,-0.014202106482786492,8.0,406.0,207.0,199.0,"Coast Guard Authorization Act for FY 2002, On Passage"
Passed,-0.0409328978082904,-0.017700633701770645,-18.0,384.0,183.0,201.0,"Asian Elephant Conservation Reauthorization Act of 2001, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.044287283597806516,-0.014713271755796817,7.0,413.0,210.0,203.0,"Recognizing Contributions, Achievements, and Work of Shirley Chisholm, On Motion to Suspend the Rules and Agree"
Passed,-0.04408195444396008,-0.015739795048131142,0.0,410.0,205.0,205.0,"Pacific Salmon Recovery Act, On Passage"
Passed,-0.045096620742561974,-0.014568537288248534,8.0,418.0,213.0,205.0,"Sudan Peace Act, On Passage"
Passed,-0.04485371749936488,-0.014180468602649363,12.0,418.0,215.0,203.0,"Condemning the recent order by the Taliban regime of Afghanistan to require Hindus in Afghanistan to wear symbols identifying them as Hindu., On Agreeing to the Resolution"
Passed,-0.04466285287313951,-0.013570743454663126,15.0,415.0,215.0,200.0,"Providing for the consideration of H.R. 1088, Investor and Capital Markets Fee Relief Act, On Ordering the Previous Question"
Passed,-0.043274469905909864,-0.010818832174964618,32.0,394.0,213.0,181.0,"Providing for the consideration of H.R. 1088, Investor and Capital Markets Fee Relief Act, On Agreeing to the Resolution"
Passed,-0.0425429824627552,-0.008080076706652417,44.0,380.0,212.0,168.0,"Investor and Capital Markets Fee Relief Act, On Passage"
Passed,-0.044597996648170116,-0.014165954762916048,9.0,415.0,212.0,203.0,"21st Century Montgomery GI Bill Enhancement Act, On Motion to Suspend the Rules and Pass"
Passed,-0.044581721783434065,-0.014423093207109754,9.0,415.0,212.0,203.0,"Honoring the continued commitment of the Army National Guard combat units deployed in support of Army operations in Bosnia., On Motion to Suspend the Rules and Agree"
Passed,-0.0444021398768299,-0.014593233182582092,7.0,413.0,210.0,203.0,"Recognizing the historical significance of Juneteenth Independence Day, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.045144039213299014,-0.014875889239552173,8.0,422.0,215.0,207.0,"Recognizing the Importance of Children in the United States and Supporting the Goals and Ideals of American Youth Day, On Motion to Suspend the Rules and Agree"
Passed,-0.040660130538647386,-0.013110032751425532,9.0,377.0,193.0,184.0,"Calling on the Government of the People’s Republic of China to Immediately and Unconditionally Release Li Shaomin and all other American Scholars of Chinese Ancestry Being Held in Detention, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.040658954592259926,-0.01314673977262147,9.0,377.0,193.0,184.0,"Expressing the Sense of the House of Representatives that Lebanon, Syria, and Iran should Call Upon Hezbollah to Allow Representatives of the International Committee of the Red Cross to Visit Four Abducted Israelis, On Motion to Suspend the Rules and Agree"
Passed,-0.04066910486745852,-0.01312385020284849,9.0,377.0,193.0,184.0,"Honoring the 19 United States Servicemen who Died in the Terrorist Bombing of the Khobar Towers in Saudi Arabia on June 25, 1996, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.043708019083824705,-0.014919254571172975,5.0,409.0,207.0,202.0,"Recognizing Disaster Relief Assistance Provided to Houston, TX after Tropical Storm Allison, On motion to suspend the rules and agree"
Passed,-0.045404160322125096,-0.015279006272939015,5.0,423.0,214.0,209.0,"Transportation and Related Agencies Appropriations for FY 2002, On Passage"
Passed,-0.04521761904742221,-0.014858706779201458,8.0,422.0,215.0,207.0,"Providing for Consideration of H.R. 2311; Energy and Water Development Appropriations for FY 2002, On Agreeing to the Resolution"
Passed,-0.0453183653062583,-0.0143687488852563,12.0,422.0,217.0,205.0,"Honoring John J. Downing, Brian Fahey, and Harry Ford, who lost their lives in the course of duty as firefighters, On Motion to Suspend the Rules and Agree"
Passed,-0.04415263993113479,-0.01450467416920988,8.0,410.0,209.0,201.0,"To establish a commission for the purpose of encouraging and providing for the commemoration of the 50th anniversary of the Supreme Court decision in Brown v. Board of Education, On Motion to Suspend the Rules and Pass, As Amended"
Passed,-0.04159148633291681,-0.016664484428818023,-16.0,388.0,186.0,202.0,"Energy and Water Development Appropriations for FY 2002, On Passage"
Passed,-0.043959736477692246,-0.014436588715530224,7.0,407.0,207.0,200.0,"Expressing the sense of Congress in support of victims of torture, On Motion to Suspend the Rules and Agree"
Passed,-0.04401853198383598,-0.014152790111061004,9.0,407.0,208.0,199.0,"Authorizing use of the Rotunda to present Congressional Gold Medals to the original 29 Navajo Code Talkers, On Motion to Suspend the Rules and Agree"
Passed,-0.042631506152719593,-0.016804929374806613,-14.0,396.0,191.0,205.0,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations for FY 2002, On Passage"
Passed,-0.04535356729870551,-0.013899783948738378,12.0,418.0,215.0,203.0,"2001 Supplemental Appropriations Act, On Motion to Go to Conference"
Passed,-0.04490879763795643,-0.015495899836013674,3.0,419.0,211.0,208.0,"No Child Left Behind Act, On Motion to go to Conference"
Agreed to,-0.04532734912630386,-0.012774686135994104,22.0,416.0,219.0,197.0,", On Agreeing to the Amendment"
Passed,-0.04214930496100192,-0.01630313595149645,-13.0,387.0,187.0,200.0,"Commerce, Justice, and State Appropriations for FY 2002, On Passage"
Passed,-0.04046979772119155,-0.011518266548413137,18.0,372.0,195.0,177.0,"Criminal Law Technical Amendments Act of 2001, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.04111929680072586,-0.011295526592992535,21.0,377.0,199.0,178.0,"Family Sponsor Immigration Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.04128463450909199,-0.01136940507472465,21.0,379.0,200.0,179.0,"James C. Corman Federal Building Designation Act, On Motion to Suspend the Rules and Pass"
Agreed to,-0.04566436125176125,-0.015112650729554065,7.0,425.0,216.0,209.0,", On Agreeing to the Amendment"
Passed,-0.04350650012656761,-0.013656562611545627,11.0,401.0,206.0,195.0,"ILSA Extension Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.044061003031388754,-0.012782694139276487,20.0,404.0,212.0,192.0,"Expressing the sense of the House of Representatives that the World Conference Against Racism, Racial Discrimination, Xenophobia, and Related Intolerance presents a unique opportunity to address global discrimination, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.04413700306552035,-0.013370506920251792,16.0,406.0,211.0,195.0,"Expressing the sense of the House of Representatives that the UN should transfer to the Israeli Government an unedited videotape which could provide material evidence for the investigation into the abduction of 3 Israeli Defense Force soldiers by Hezbollah forces, On Motion to Suspend the Rules and Agree"
Passed,-0.04494195988961994,-0.013870934945283128,15.0,417.0,216.0,201.0,"Supporting the goals and ideals of National Alcohol and Drug Addiction Recovery Month, On Motion to Suspend the Rules and Agree"
Passed,-0.04551492933014108,-0.01372184962938195,16.0,420.0,218.0,202.0,"Veterans Benefits Act, On Motion to Suspend the Rules and Pass, as Amended"
Agreed to,-0.042654944755912236,-0.016400298268842393,-10.0,394.0,192.0,202.0,", On Agreeing to the Amendment"
Passed,-0.043425680711776035,-0.01293242631852769,17.0,399.0,208.0,191.0,"Drug Free Communities Support Program Reauthorization Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.04388804500245609,-0.013239061875349475,17.0,405.0,211.0,194.0,"Recognizing the Important Relationship Between the United States and Mexico, On Motion to Suspend the Rules and Agree"
Passed,-0.04413541327077654,-0.014514902469305795,7.0,407.0,207.0,200.0,"To promote freedom and democracy in Viet Nam, On Passage"
Passed,-0.03924760471003746,-0.011886165583230256,9.0,361.0,185.0,176.0,"Stan Parris Post Office Building, On Motion to Suspend the Rules and Pass"
Passed,-0.03949081390508914,-0.012449068653014246,6.0,364.0,185.0,179.0,"Herb Harris Post Office Building, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.04407323126203483,-0.01296439106860838,16.0,406.0,211.0,195.0,"Expressing the sense of the Senate and House of Representatives regarding the terrorist attacks launched against the United States on Sept. 11, 2001, On Passage"
Passed,-0.044450368918157214,-0.014113110425108471,9.0,411.0,210.0,201.0,"To provide for the expedited payment of certain benefits for a public safety officer who was killed or suffered a catastrophic injury as a direct result of a personal injury sustaned in the line of duty in connection with the terrorist attacks on September 11, 2001, On Passage"
Passed,-0.04506538897287287,-0.013840046286290915,12.0,416.0,214.0,202.0,"Victims of Terrorism Relief Act of 2001, On Passage"
Passed,-0.04522433936930701,-0.014362579739205274,11.0,421.0,216.0,205.0,"2001 Emergency Supplemental Appropriations Act for Recovery from and Response to Terrorist Attacks on the United States, On Passage"
Passed,-0.044980085748236295,-0.01406922325765592,12.0,418.0,215.0,203.0,"To authorize the use of United States Armed Forces against those responsible for the recent attacks launched against the United States., On Passage"
Passed,-0.04385517084539958,-0.013971186349634651,10.0,406.0,208.0,198.0,"District of Columbia Family Court Act, On Motion to Suspend the Rules and Pass"
Passed,-0.04350128547131656,-0.012806012775820778,15.0,399.0,207.0,192.0,"Military Construction Appropriations for FY 2002, On Passage"
Passed,-0.041235685178910665,-0.013492173899328216,6.0,382.0,194.0,188.0,"Muscular Dystrophy Community Assistance, Research and Education Amendments, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.042251551149623374,-0.013155511696527596,11.0,391.0,201.0,190.0,"Making continuing appropriations for FY 2002, and for other purposes, On Passage"
Passed,-0.04512855726935238,-0.014606625317683542,8.0,418.0,213.0,205.0,"Notification and Federal Employee Antidiscrimination and Retaliation Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.04511761140228487,-0.014606538894894555,8.0,418.0,213.0,205.0,"Memorializing fallen firefighters by lowering the American flag to half-staff in honor of the National Fallen Firefighters Memorial Service in Emittsburg, Maryland., On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.04484040071960261,-0.0146861518609896,6.0,414.0,210.0,204.0,"Military Construction Appropriations for FY 2002, On Motion to Instruct Conferees"
Agreed to,-0.04436618823518915,-0.014336179950820552,7.0,411.0,209.0,202.0,", On Agreeing to the Amendment"
Passed,-0.04425134686978141,-0.01416383433024638,8.0,410.0,209.0,201.0,"Authorizing the Printing of a Revised Edition of the Publication entitled “Our Flag”, On Motion to Suspend the Rules and Agree"
Passed,-0.04370867118461026,-0.014185038805880807,6.0,404.0,205.0,199.0,"Urging the Secretary of Energy to Fill the Strategic Petroleum Reserve, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.04377059377556413,-0.012830036448640433,14.0,402.0,208.0,194.0,"Expressing the Sense of the Congress that Public Schools May Display the Words “God Bless America” as an Expression of Support for the Nation, On Motion to Suspend the Rules and Agree"
Passed,-0.04425235539541851,-0.015267000462480059,0.0,410.0,205.0,205.0,"Recognizing the Historic Significance of the 50th Anniversary of the Alliance between Australia and the United States under the ANZUS Treaty, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.04435698597287446,-0.013941213875229182,9.0,409.0,209.0,200.0,"Financial Anti-Terrorism Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.04504654778219397,-0.01498109089289184,4.0,418.0,211.0,207.0,"National Defense Authorization Act for Fiscal Year 2002, On Closing Portions of the Conference"
Passed,-0.043952074330806404,-0.014444993694666052,6.0,406.0,206.0,200.0,"Military Construction Appropriations for FY 2002, On Agreeing to the Conference Report"
Passed,-0.044647044642525925,-0.014487902926143456,7.0,413.0,210.0,203.0,"Higher Education Relief Opportunities for Students Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.04491072657304566,-0.014631250412027907,7.0,417.0,212.0,205.0,"Bioterrorism Enforcement Act of 2001, On Motion to Suspend the Rules and Pass"
Passed,-0.0448185232402173,-0.014693624643489485,6.0,416.0,211.0,205.0,"Property Protection Program for Power Marketing Administrations, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.04476261540420045,-0.014918849703598483,5.0,417.0,211.0,206.0,"Making further continuing appropriations for Fiscal Year 2002, On Passage"
Passed,-0.04350079442541678,-0.015236077405299532,-1.0,405.0,202.0,203.0,"Amending Title 36, United States Code, to designate September 11 as Patriot Day, On Passage"
Passed,-0.04367989312315195,-0.014727139069105999,5.0,407.0,206.0,201.0,"Expressing the Sense of Congress that the Public Safety Officer Medal of Valor should be presented to the Public Safety Officers who have perished and those who deserve special recognition for outstanding valor above and beyond the call of duty in the aftermath of the terrorist attacks on September 11, 2001, On Motion to Suspend the Rules and Agree"
Passed,-0.04335488600862263,-0.014835613804820203,3.0,403.0,203.0,200.0,"Federal Long-Term Care Insurance Amendments Act, On Motion to Suspend the Rules and Pass"
Passed,-0.043200570510735545,-0.014819287729143598,3.0,403.0,203.0,200.0,"Norman Sisisky Post Office Building Designation Act, On Motion to Suspend the Rules and Pass"
Passed,-0.04322708959183771,-0.014791026148224012,3.0,403.0,203.0,200.0,"Expressing the Profound Sorrow of the Congress for the Death and Injuries Suffered by the First Responders to the Terrorist Attacks on the World Trade Center and the Pentagon on September 11, 2001, On Motion to Suspend the Rules and Agree"
Passed,-0.045317197964495425,-0.01442883032691785,9.0,421.0,215.0,206.0,"Waiving points of order against the conference report to accompany H.R. 2647, Legislative Branch Appropriations for FY 2002, On Agreeing to the Resolution"
Passed,-0.045045041436054915,-0.01411933817380442,11.0,417.0,214.0,203.0,"Waiving points of order against the conference report to accompany H.R. 2311; Energy and Water Appropriations for F.Y. 2002, On Agreeing to the Resolution"
Passed,-0.04066746668617473,-0.01223142224968062,10.0,368.0,189.0,179.0,"Energy and Water Development Appropriations for FY 2002, On Agreeing to the Conference Report"
Passed,-0.04367735006525154,-0.010750704268673545,28.0,398.0,213.0,185.0,"Need-Based Educational Aid Act, On Motion to Suspend the Rules and Agree to Senate Amendments"
Passed,-0.04239561480056018,-0.011729476188433077,18.0,386.0,202.0,184.0,"Financial Services Antifraud Network Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.043295713772273106,-0.01105412601612455,25.0,395.0,210.0,185.0,"Aviation Security Act, On Motion to Instruct Conferees"
Passed,-0.04350292728940763,-0.013971518392578515,7.0,401.0,204.0,197.0,"Radio Free Afghanistan Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.044177478813615854,-0.013525565841100718,12.0,408.0,210.0,198.0,"Nathaniel R. Jones and Frank J. Battisti Federal Building and United States Courthouse, On Motion to Suspend the Rules and Pass"
Passed,-0.04365154280725999,-0.014674117093775136,2.0,404.0,203.0,201.0,"Expressing the sense of Congress that the President, at the WTO round of negotiations to be held at Doha, Qatar, from Nov. 9-11, 2001, should preserve the ability of the US to enforce its trade laws and should ensure that US exports are not subject to the abusive use of trade laws by other countries., On Motion to Suspend the Rules and Agree"
Passed,-0.04144604333284834,-0.015740954533083953,-9.0,381.0,186.0,195.0,"Departments of Veterans Affairs and Housing and Urban Development Appropriations for FY 2002, On Agreeing to the Conference Report"
Passed,-0.044024888122144404,-0.014098969021197096,8.0,408.0,208.0,200.0,"To enhance the authorities of special agents and provide limited authorities to uniformed officers responsible for the protection of domestic Department of State occupied facilities., On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.042344751487853244,-0.017902851007976412,-22.0,394.0,186.0,208.0,"Commerce, Justice, and State Appropriations for FY 2002, On Agreeing to the Conference Report"
Passed,-0.04513490039163603,-0.014166797596969757,10.0,418.0,214.0,204.0,"Commending Daw Aung San Suu Kyi on the 10th anniversary of her receiving the Nobel Peace Prize and expressing the sense of the Congress with respect to the Government of Burma, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.04480423871585404,-0.014385021156519465,8.0,416.0,212.0,204.0,"Expressing the sense of the Congress that the men and women of the United States Postal Service have done an outstanding job of delivering the mail during this time of national emergency., On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.0447656795358514,-0.014950166386242294,4.0,416.0,210.0,206.0,"Expressing the sense of the Congress that the children who lost one or both parents or guardian in the Sept. 11, 2001, tragedies should be provided with all necessary assistance, On Motion to Suspend the Rules and Agree, As Amended"
Passed,-0.04298301957788732,-0.015395505707392594,-1.0,399.0,199.0,200.0,"Aviation Security Act, On Agreeing to the Conference Report"
Passed,-0.041618123494595,-0.014827497995445086,-3.0,385.0,191.0,194.0,"Computer Security Enhancement Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.04216604094983062,-0.014178639436188877,3.0,391.0,197.0,194.0,"Resolution expressing the sense of the Congress regarding National Pearl Harbor Remembrance Day., On Motion to Suspend the Rules and Agree"
Passed,-0.04510711018964317,-0.014396858299189848,8.0,418.0,213.0,205.0,"Expressing the sense of the Congress regarding the efforts of people of the United States of Korean ancestry to reunite with their family members in North Korea., On Motion to Suspend the Rules and Agree"
Passed,-0.043148634918696416,-0.015552564233652038,-4.0,400.0,198.0,202.0,"Clean Diamond Trade Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.03912732113934883,-0.01321835643653057,2.0,358.0,180.0,178.0,"Transportation and Related Agencies Appropriations for FY 2002, On Agreeing to the Conference Report"
Passed,-0.04420471398903537,-0.01343210404703809,12.0,408.0,210.0,198.0,"Administrative Simplification Compliance Act, Suspend Rules and Pass, As Amended"
Passed,-0.04393564989505353,-0.013611898068070883,10.0,406.0,208.0,198.0,"Medicare Regulatory and Contracting Reform Act, On Motion to Suspend the Rules and Pass"
Passed,-0.04159680747668674,-0.014705624400158716,1.0,385.0,193.0,192.0,"Zimbabwe Democracy and Economic Recovery Act, Suspend Rules and Pass, As Amended"
Passed,-0.04345615978528205,-0.013991864835954066,5.0,401.0,203.0,198.0,"Recognizing Radio Free Europe/Radio Liberty’s success in promoting democracy and its continuing contribution to US national interests, On Motion to Suspend the Rules and Agree"
Passed,-0.043768637710552956,-0.0134854807848573,11.0,405.0,208.0,197.0,"Designating the National Foreign Affairs Training Center as the George P. Shultz National Foreign Affairs Training Center, On Motion to Suspend the Rules and Pass"
Passed,-0.04183320935495286,-0.015845703736303476,-7.0,391.0,192.0,199.0,"Hunger to Harvest: Decade of Support for Sub-Saharan Africa Resolution, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.04454231602363135,-0.014376670766267884,7.0,413.0,210.0,203.0,"Veterans’ Day National Observance, On Motion to Suspend the Rules and Agree"
Passed,-0.04453329890933442,-0.014173521243489895,9.0,413.0,211.0,202.0,"Expressing the sense of the Congress in honoring the crew and passengers of United Airlines Flight 93, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.04484875877708639,-0.014934276907431522,3.0,415.0,209.0,206.0,"To Reauthorize the Trade Assistance Program Under the Trade Act of 1974, On Motion to Suspend the Rules and Pass, as Amended"
