"
",>>>>>,Lower,Left,<<<<<,"
Passed,0.04098147055058746,-0.010005400904180613,12.0,390.0,201.0,189.0,"Agree to Senate Amendments with Amendment to H.R. 98, Aviation War Risk Insurance Program Extension, On Motion to Suspend the Rules and Agree"
Passed,0.04118367840892636,-0.009453940544905273,17.0,393.0,205.0,188.0,"To Designate the Federal Building located at 310 New Bern Avenue in Raleigh, North Carolina, as the “Terry Sanford Federal Building”., On Motion to Suspend the Rules and Pass, as Amended"
Passed,0.0429209222142374,-0.011333555861765852,7.0,409.0,208.0,201.0,"Public Safety Officer Medal of Valor Act of 1999, On Motion to Suspend Rules and Pass"
Passed,0.04365912838310497,-0.010448637331105829,17.0,417.0,217.0,200.0,"Congratulating the State of Qatar and its Citizens for their Commitment to Democratic Ideals and Women’s Suffrage, On Motion to Suspend Rules and Agree, as Amended"
Passed,0.04389356805605073,-0.011232840801615223,11.0,423.0,217.0,206.0,"Availability of Certain Tax Benefits For Services As Part of Operation Allied Force, On Passage"
Passed,0.04380978310256798,-0.011985131764561764,2.0,422.0,212.0,210.0,"To Authorize the President to Award a Gold Medal on Behalf of the Congress to Rosa Parks in Recognition of Her Contribution to the Nation, On Motion to Suspend the Rules and Pass, as Amended"
Passed,0.04358813480276234,-0.012322565717818174,0.0,418.0,209.0,209.0,"Condemning the Murder of Human Rights Lawyer Rosemary Nelson and Calling for the Protection of Defense Attorneys in Northern Ireland, On Motion to Suspend the Rules and Agree, as Amended"
Passed,0.04266333591368199,-0.012585718309027898,-4.0,410.0,203.0,207.0,"Earthquake Hazards Reduction Authorization Act, On Passage"
Passed,0.0430022372473892,-0.010728811605303002,13.0,413.0,213.0,200.0,"Emergency Supplemental Appropriations for FY 1999, On Motion to Instruct Conferees"
Passed,0.043933579527963056,-0.010454875570567165,16.0,420.0,218.0,202.0,"Satellite Copyright, Competition, and Consumer Protection Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,0.042997228329171536,-0.012153624179750487,2.0,412.0,207.0,205.0,"Water Resources Development Act, On Passage"
Passed,0.04281364871657493,-0.011343910978880982,6.0,410.0,208.0,202.0,"Urging the Congress and the President to Fully Fund the Federal Government’s Obligation Under the Individuals with Disabilities Education Act, On Motion to Suspend Rules and Agree, as Amended"
Passed,0.04108933654215549,-0.007660945578577654,27.0,383.0,205.0,178.0,"Urging the Congress and the President to Increase Funding for the Pell Grant Program and Existing Campus-Based Aid Programs, On Motion to Suspend the Rules and Agree"
Passed,0.04203130113168515,-0.012001685629596057,0.0,406.0,203.0,203.0,"Expressing the sense of the House of Representatives in support of America’s teachers., On Motion to Suspend the Rules and Agree"
Passed,0.04329712963579524,-0.01163246448847065,5.0,413.0,209.0,204.0,"Fire Administration Authorization Act of 1999, On Motion to Suspend Rules and Pass, as Amended"
Passed,0.043661568514900224,-0.010517742550089542,15.0,419.0,217.0,202.0,"Honoring and Recognizing Slain Peace Officers, On Motion to Suspend Rules and Agree"
Agreed to,0.04133446070596409,-0.008231055905541181,21.0,391.0,206.0,185.0,", on agreeing to the amendment, as amended"
Passed,0.041122635763653013,-0.010008420639814693,17.0,391.0,204.0,187.0,"Providing for Consideration of H.R. 1906; Agriculture, Rural Development, Food and Drug Administration, and Related Agencies for FY 2000, On Agreeing to the Resolution"
Passed,0.04295395346862212,-0.010937959007038568,12.0,412.0,212.0,200.0,"Missing, Exploited, and Runaway Children Protection Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,0.042306066642746075,-0.011392083966422313,5.0,407.0,206.0,201.0,"Trade Agency Authorizations, Drug Free Borders, and Prevention of On-Line Child Pornography Act of 1999, On Motion to Suspend Rules and Pass, as Amended"
Passed,0.04333942229842814,-0.010968894207679368,13.0,417.0,215.0,202.0,"Concerning the Tenth Anniversary of the Tiananmen Square Massacre, On Motion to Suspend Rules and Agree"
Passed,0.042556604408686444,-0.008337265820420367,29.0,403.0,216.0,187.0,"Social Security and Medicare Safe Deposit Box Act, On Passage"
Passed,0.03934972645417917,-0.009643608272849427,13.0,375.0,194.0,181.0,"Miscellaneous Trade and Technical Corrections Act, Suspend the Rules and Agree to Senate Amendment"
Passed,0.038724402927350146,-0.010037341591794646,8.0,366.0,187.0,179.0,"To Provide Grants to the States to Improve the Reporting of Unidentified and Missing Persons, On Motion to Suspend the Rules and Pass"
Passed,0.04374313041709681,-0.01114257569880093,11.0,419.0,215.0,204.0,"Education Land Grant Act, On Passage"
Agreed to,0.04447094119501468,-0.01106289974113347,13.0,427.0,220.0,207.0,", On Agreeing to the Amendment"
Agreed to,0.04413097600089816,-0.011084931411966772,12.0,424.0,218.0,206.0,", On Agreeing to the Amendment"
Passed,0.043020638877500926,-0.011035237497431273,10.0,412.0,211.0,201.0,"Expressing Concern Over Violence in Sierra Leone, Suspend Rules and Agree, as Amended"
Passed,0.04335378525123704,-0.010743948522647552,12.0,414.0,213.0,201.0,"Condemning the National Islamic Front (NIF) Government of Sudan, Suspend Rules and Agree, as Amended"
Agreed to,0.042438252643993625,-0.00636756225337396,40.0,396.0,218.0,178.0,", On Agreeing to the Amendment"
Agreed to,0.043884736207228235,-0.010969410847496619,12.0,420.0,216.0,204.0,", On Agreeing to the Amendment"
Agreed to,0.04244463173386139,-0.01222816082969075,5.0,407.0,206.0,201.0,", On Agreeing to the Amendment"
Agreed to,0.043923121151974075,-0.011467200751873737,7.0,421.0,214.0,207.0,", On Agreeing to the Amendment"
Agreed to,0.043694813101786745,-0.011221345597024384,10.0,420.0,215.0,205.0,", On Agreeing to the Amendment"
Passed,0.043303418076517726,-0.012207344545008929,1.0,413.0,207.0,206.0,"Protect America’s Treasures of the Revolution for Independence for Our Tomorrow Act or the PATRIOT Act., On Passage"
Passed,0.04261547508151422,-0.011878949501486411,5.0,409.0,207.0,202.0,"To Locate and Secure the Return of Zachary Baumel, an American Citizen, and other Israeli Soldiers Missing in Action., On Motion to Suspend Rules and Pass, as Amended"
Passed,0.04285659412615671,-0.010740695812885882,10.0,412.0,211.0,201.0,"Providing for the bill H.R. 2084; FY 2000 Appropriations Act, On Agreeing to the Resolution"
Passed,0.044389909816769026,-0.011867170861313588,7.0,425.0,216.0,209.0,"Department of Transportation and Related Agencies Appropriations Act FY 2000, On Passage"
Passed,0.044138286267664535,-0.011553188909134624,9.0,425.0,217.0,208.0,"Year 2000 Readiness and Responsibility Act, On Motion to Instruct Conferees"
Passed,0.0394508778327263,-0.011112577010400386,2.0,374.0,188.0,186.0,"Foster Care Independence Act, On Passage"
Passed,0.0440137455908931,-0.010967573407929553,13.0,423.0,218.0,205.0,"Veterans Benefits Improvement Act of 1999, On Motion to Suspend the Rules and Pass, as Amended"
Passed,0.04409061799674495,-0.011633145010833812,8.0,424.0,216.0,208.0,"Expressing the Sense of the House of Representatives Condemning the Acts of Arson at Three Sacramento, California Synagogues, On Motion to Suspend the Rules and Agree"
Passed,0.04385663919141461,-0.011018553277526641,13.0,421.0,217.0,204.0,"Waiving points of order against the conference report to accompany H.R. 775; Year 2000 Readiness and Responsibility Act, On Agreeing to the Resolution"
Passed,0.04270505206562866,-0.00853124644702411,27.0,403.0,215.0,188.0,"DOD Authorization for FY 2000, On Closing Portions of the Conference"
Agreed to,0.044363320532168765,-0.011322661274832597,11.0,425.0,218.0,207.0,", On Agreeing to the Amendment"
Passed,0.04333792651134501,-0.01107386794965168,11.0,413.0,212.0,201.0,"Military Construction Appropriations Act, 2000, On Passage"
Passed,0.04005116333957353,-0.009375792514961866,12.0,380.0,196.0,184.0,"Lewis and Clark Expedition Bicentennial Commemorative Coin Act, Suspend Rules and Pass"
Passed,0.03998445151889956,-0.009292974548130817,13.0,381.0,197.0,184.0,"Expressing the Sense of the Congress Regarding the Victory of the United States in the Cold War and the Fall of the Berlin Wall, Suspend Rules and Agree, as Amended"
Passed,0.04002475797945396,-0.00942491910226722,13.0,381.0,197.0,184.0,"Iran Nuclear Proliferation Prevention Act, On Motion to Suspend Rules and Pass"
Passed,0.04348810143197538,-0.010131338871438062,18.0,416.0,217.0,199.0,"Designating the Document Door of the United States Capitol as the “Memorial Door”., On Motion to Suspend the Rules and Agree"
Agreed to,0.04428317719828972,-0.010872780453574897,12.0,422.0,217.0,205.0,", On Agreeing to the Amendment"
Agreed to,0.04432556050073005,-0.01068265767649713,14.0,424.0,219.0,205.0,", On Agreeing to the Amendment"
Agreed to,0.043499350912153845,-0.010985401106591052,10.0,414.0,212.0,202.0,", On Agreeing to the Amendment"
Agreed to,0.04447331361657762,-0.011249951322917527,10.0,426.0,218.0,208.0,", On Agreeing to the Amendment"
Agreed to,0.04450356077698605,-0.011016455328646237,12.0,426.0,219.0,207.0,", On Agreeing to the Amendment"
Agreed to,0.0441819701008369,-0.011434611446117893,9.0,423.0,216.0,207.0,", On Agreeing to the Amendment"
Agreed to,0.044253635158959324,-0.010992904258442293,12.0,424.0,218.0,206.0,", On Agreeing to the Amendment"
Passed,0.04318352938106614,-0.011544060074063103,7.0,411.0,209.0,202.0,"Energy and Water Appropriations Act, 2000, On Passage"
Passed,0.042497763319761024,-0.010329301878915596,13.0,403.0,208.0,195.0,"Military Construction Appropriations Act, FY 2000, On Agreeing to the Conference Report"
Passed,0.043259255113181856,-0.01122623236624469,7.0,415.0,211.0,204.0,"Arizona Statehood and Enabling Act Amendments, On Motion to Suspend the Rules and Pass"
Passed,0.043275456673508406,-0.010998777002631573,8.0,416.0,212.0,204.0,"Construction Industry Payment Protection Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,0.04029791421126875,-0.009006963862483404,16.0,380.0,198.0,182.0,"Department of Defense Appropriations for F.Y. 2000, On Closing Portions of the Conference"
Passed,0.04088994040661372,-0.012414147864687126,-7.0,389.0,191.0,198.0,"Thomas Cole National Historic Site Act, Suspend the rules and pass, as amended"
Passed,0.041261015657199376,-0.010174122211265148,11.0,395.0,203.0,192.0,"Expressing the Sense of Congress Regarding the Importance of Family Friendly Programming on Television, Suspend the rules and agree"
Passed,0.04355605342043208,-0.011150489118979694,9.0,417.0,213.0,204.0,"Iran Nonproliferation Act of 1999, On Motion to Suspend the Rules and Pass, as Amended"
Passed,0.043433879246365645,-0.011695710166579446,4.0,418.0,211.0,207.0,"Foreign Operations Appropriations Act, FY 2000, On Motion to Instruct Conferees"
Passed,0.042761018470989766,-0.010989894105418362,9.0,407.0,208.0,199.0,"Saint Helena Island National Scenic Area Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,0.04231791423637465,-0.010240627881130213,16.0,404.0,210.0,194.0,"National Monument NEPA Compliance Act, On Passage"
Passed,0.04205692557133094,-0.010195469304203177,11.0,399.0,205.0,194.0,"Expressing the sense of Congress regarding the European Council noise rule affecting hush-kitted and re-engined aircraft., On Motion to Suspend the Rules and Agree, as Amended"
Passed,0.04182701881964291,-0.010298060150911564,10.0,398.0,204.0,194.0,"Expressing the sense of the Congress that Haiti should conduct free, fair, transparent, and peaceful elections., On Motion to Suspend the Rules and Agree, as Amended"
Passed,0.04223238456528449,-0.010449418867672377,10.0,404.0,207.0,197.0,"To Direct the Secretaries of Agriculture and Interior to Convey Certain Lands in San Juan County, New Mexico, Suspend the rules and pass"
Passed,0.04205464057173469,-0.011501782797332437,1.0,399.0,200.0,199.0,"Preserving Affordable Housing for Senior Citizens into the 21st Century Act, Suspend the Rules and Pass, as amended"
Passed,0.04395301413798892,-0.010607488804555913,14.0,418.0,216.0,202.0,"Continuing Resolution for Fiscal Year 2000, On Passage"
Passed,0.04405731577772387,-0.011295303529719448,9.0,423.0,216.0,207.0,"Expressing sympathy for the victims of the devastating earthquake that struck Taiwan on September 21, 1999, Suspend the rules and agree, as amended"
Passed,0.043528012004027505,-0.00970805785010804,18.0,414.0,216.0,198.0,"Expressing the desire of the House of Representatives to not spend any of the budget surplus created by social security receipts and to continue to retire the public debt, Suspend the rules and agree"
Passed,0.042874372920315255,-0.013143504905840214,-7.0,409.0,201.0,208.0,"Health Research and Quality Act of 1999, On Passage"
Passed,0.04391195260123253,-0.010719407426105027,14.0,420.0,217.0,203.0,"Providing for the consideration of H.R. 2559, Agricultural Risk Protection Act, On Agreeing to the Resolution"
Passed,0.0437492252097861,-0.010958159632329389,11.0,419.0,215.0,204.0,"Providing for consideration of H.R. 2910; National Transportation Safety Board Authorization, On Agreeing to the Resolution"
Passed,0.04371898622862876,-0.011497947496305538,7.0,415.0,211.0,204.0,"National Transportation Safety Board Authorization, On Passage"
Passed,0.043072673889909256,-0.010332570703171168,14.0,412.0,213.0,199.0,"Condemning the kidnapping and murder by the Revolutionary Armed Forces of Columbia (FARC) of 3 United States citizens., On Motion to Suspend the Rules and Agree"
Passed,0.04294812171700933,-0.010458025363484811,12.0,408.0,210.0,198.0,"Abraham Lincoln Bicentennial Commission Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,0.04408946971347126,-0.011102826927776716,11.0,423.0,217.0,206.0,"National Medal of Honor Memorial Act, Suspend the rules and pass, as amended"
Passed,0.043907083451726246,-0.01100172295750624,11.0,421.0,216.0,205.0,"Commending Battle of the Bulge Veterans, Suspend the rules and pass, as amended"
Passed,0.04342839922675083,-0.01149522436672693,6.0,416.0,211.0,205.0,"Expressing the sense of the House of Representatives in sympathy for the victims of Hurricane Floyd, Suspend the rules and agree"
Agreed to,0.044140424833494965,-0.01038472049554646,17.0,423.0,220.0,203.0,", On Agreeing to the Amendment"
Passed,0.04416168717276338,-0.011429290241956052,8.0,422.0,215.0,207.0,"Child Abuse Prevention and Enforcement Act, On Passage"
Passed,0.04373984421147855,-0.00917507713984888,23.0,415.0,219.0,196.0,"Expressing the sense of the House of Representatives urging that 95 percent of Federal education dollars be spent in the classroom., On Motion to Suspend the Rules and Agree, as Amended"
Passed,0.04417306853821675,-0.01148094934073278,7.0,421.0,214.0,207.0,"Wireless Communications and Public Safety Act, On Motion to Suspend the Rules and Pass"
Passed,0.044117457947402336,-0.01113744457989177,9.0,421.0,215.0,206.0,"Hillory J. Farias Date-Rape Prevention Drug Act, Suspend the rules and pass, as amended"
Passed,0.04078754207540419,-0.012672102552274923,-7.0,387.0,190.0,197.0,"Veterans Affairs and Housing and Urban Development and Independent Agencies Appropriations Act, 2000, On Agreeing to the Conference Report"
Passed,0.04293041676687203,-0.012058488115982743,1.0,409.0,205.0,204.0,"Motor Carrier Safety Act, On Passage"
Passed,0.04051009291924783,-0.011576162859738618,0.0,384.0,192.0,192.0,"Chattahoochee River National Recreation Area, On Motion to Suspend the Rules and Pass, as Amended"
Passed,0.042398389371118485,-0.010034669323945769,13.0,403.0,208.0,195.0,"Immigration and Nationality Act Amendments Concerning Adopted Alien Less than 18 Years of Age, On Motion to Suspend the Rules and Pass"
Passed,0.042212619796962766,-0.009639622265804856,15.0,401.0,208.0,193.0,"Use of the Rotunda of the Capitol for the Presentation of the Congressioanl Gold Medal to President and Mrs. Gerald R. Ford, On Motion to Suspend the Rules and Agree"
Passed,0.043803010871349767,-0.0108425762664806,12.0,418.0,215.0,203.0,"Further Continuing Appropriations, FY 2000, On Passage"
Passed,0.042013996846769444,-0.01305671639458465,-8.0,402.0,197.0,205.0,"Ticket to Work and Work Incentives Improvement Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,0.0408843522237279,-0.010005236654573183,11.0,387.0,199.0,188.0,"Made in America Information Act, Suspend the Rules and Pass, as Amended"
Passed,0.040228050893960574,-0.009935746240675883,8.0,380.0,194.0,186.0,"History of the House Awareness and Preservation Act, Suspend the Rules and Pass, as Amended"
Passed,0.040983326026753114,-0.009383686509023532,16.0,390.0,203.0,187.0,"Recognizing the contributions of 4-H Clubs and their members to voluntary community service., On Motion to Suspend the Rules and Agree"
Passed,0.043951702768664086,-0.010511744598682609,15.0,421.0,218.0,203.0,"Urging the United States to seek a global consensus supporting a moratorium on tariffs and on special multiple, and discriminatory taxation of electronic commerce., Suspend the Rules and Agree, as Amended"
Passed,0.04404774308523998,-0.010658143530998788,14.0,422.0,218.0,204.0,"Celebrating the 50th anniversary of the Geneva Conventions, Suspend the rules and agree"
Passed,0.044115554536937926,-0.01082020084170831,13.0,423.0,218.0,205.0,"Commending Greece and Turkey for their Mutual and Swift Response to the Recent Earthquakes in both Countries, Suspend the rules and agree"
Passed,0.0437756236285857,-0.010874306650345441,12.0,420.0,216.0,204.0,"To Locate and Secure the Return of Zachary Baumel, an American Citizen, and other Israeli Soldiers Missing in Action., Suspend the Rules and Agree to Senate Amendments"
Passed,0.044294378583805735,-0.010750078176264857,13.0,421.0,217.0,204.0,"Making further continuing appropriations for F.Y. 2000, On Passage"
Passed,0.04276211109525071,-0.011076876654171806,7.0,407.0,207.0,200.0,"Encouraging the Secretary of Education, and State and Local Educational Agencies to Promote Financial Literacy Training, On Motion to Suspend the Rules and Agree"
Passed,0.04256006557547955,-0.010649592825438696,10.0,408.0,209.0,199.0,"Expressing the sense of Congress that the President should transmit to Congress the President’s recommendations for emergency response actions to provide relief to the victims of Hurricane Floyd., On Motion to Suspend the Rules and Agree"
Passed,0.04323452575137973,-0.010347060232470283,14.0,410.0,212.0,198.0,"Further Continuing Appropriations, FY 2000, On Passage"
Passed,0.039865905953854315,-0.010644872867110241,5.0,381.0,193.0,188.0,"Recognizing the Generous Contribution Made by Each Living Person Who Has Donated a Kidney to Save a Life, On Motion to Suspend the Rules and Agree"
Passed,0.04034852061444995,-0.011072668763368423,2.0,384.0,193.0,191.0,"Reauthorize Funding for the Office of Government Ethics, On Motion to Suspend the Rules and Pass, as Amended"
Passed,0.04067609745291607,-0.010360518865029984,8.0,388.0,198.0,190.0,"Recognizing and Honoring Payne Stewart and Extending Condolences to His Family and the Families of Those Who Died With Him, On Motion to Suspend the Rules and Agree"
Agreed to,0.04349390912218783,-0.011512136340569265,7.0,415.0,211.0,204.0,", On Agreeing to the Amendment"
Passed,0.043491648563323805,-0.010548618733357927,14.0,416.0,215.0,201.0,"Expressing the sense of the Congress regarding Freedom Day, Suspend the rules and agree"
Passed,0.04260456863910366,-0.010097902993825432,15.0,403.0,209.0,194.0,"Satellite Copyright, Competition, and Consumer Protection Act, Suspend Rules Agree to Conference Report"
Passed,0.04158464596964822,-0.011441116337780013,4.0,400.0,202.0,198.0,"State Flexibility Clarification Act, Suspend the rules and pass, as amended"
Passed,0.04142471253430359,-0.011125774878160436,6.0,398.0,202.0,196.0,"Condemning the assassination of Armenian Prime Minister Vazgen Sargsian and other officials of the Armenian Government, Suspend the rules and agree"
Passed,0.04107007786758985,-0.010937633688107875,5.0,391.0,198.0,193.0,"Expressing the strong support of the Congress for the recently concluded elections in the Republic of India, Suspend the rules and agree"
Passed,0.042877178723788614,-0.011333469074516713,6.0,410.0,208.0,202.0,"Expressing the sense of the House of Representatives with respect to democracy, free elections, and human rights in the Lao People’s Democratic Republic., Suspend the Rules and Agree, as Amended"
Passed,0.0409804246845153,-0.012833682089587076,-9.0,391.0,191.0,200.0,"Expressing United States policy toward the Slovak Republic, On Motion to Suspend the Rules and Agree"
Passed,0.0420634746134944,-0.011735012383129089,2.0,402.0,202.0,200.0,"Expressing grave concern regarding armed conflict in the North Caucasus region of the Russian Federation., Suspend the Rules and Agree, as Amended"
Passed,0.04313799741954857,-0.010796289840419483,11.0,413.0,212.0,201.0,"Expressing the sense of the House of Representatives regarding the importance of increased support and funding to combat diabetes., On Motion to Suspend the Rules and Agree"
Passed,0.04138558436575148,-0.011168723045244085,6.0,394.0,200.0,194.0,"Making further continuing appropriations for FY 2000, On Passage"
Passed,0.041026547827673905,-0.009197099189092808,18.0,386.0,202.0,184.0,"Making further continuing appropriations for F.Y. 2000, On Passage"
Passed,0.04312317106802439,-0.01111388767300295,9.0,415.0,212.0,203.0,"Ticket to Work and Work Incentives Improvement Act, On Agreeing to the Conference Report"
Passed,0.04262682730170661,-0.011328545935923117,6.0,406.0,206.0,200.0,"Child Abuse Prevention and Enforcement Act, Suspend the Rules and Agree to Senate Amendment"
Passed,0.039721558666861945,-0.012010939743723976,-4.0,374.0,185.0,189.0,"Abraham Lincoln Bicentennial Commission Act, Suspend the Rules and Agree to Senate Amendment"
Passed,0.040930431134080354,-0.009676625924120188,16.0,388.0,202.0,186.0,"Expressing the Condolences of the House on the Death of the Honorable Carl B. Albert, On Agreeing to the Resolution"
Passed,0.039935300744001395,-0.008674210433497379,17.0,377.0,197.0,180.0,"Expressing the sense of Congress regarding the importance of organ, tissue, bone marrow, and blood donation and supporting National Donor Day., Suspend the Rules and Agree"
Passed,0.0397980424374264,-0.008769293677661839,16.0,376.0,196.0,180.0,"Recognizing the social problem of child abuse and neglect, and supporting efforts to enhance public awareness of it, Suspend the rules and agree"
Passed,0.04329587407591896,-0.009858333523863456,18.0,410.0,214.0,196.0,"To award a Congressional gold medal to John Cardinal O’Connor, Archbishop of New York, Suspend the Rules and Pass"
Passed,0.04295468746155659,-0.010045356250213812,17.0,407.0,212.0,195.0,"To authorize the President to award a gold medal on behalf of the Congress to Charles M. Schulz in recognition of his lasting artistic contributions, Suspend the Rules and Pass"
Passed,0.04325160879308229,-0.010769357184529985,10.0,410.0,210.0,200.0,"Carter G. Woodson Home National Historic Site Study Act, On Motion to Suspend the Rules and Pass"
Passed,0.04238978350545479,-0.010161838377975286,14.0,402.0,208.0,194.0,"Indian Tribal Economic Development and Contract Encouragement Act, On Motion to Suspend the Rules and Pass"
Passed,0.04381813730713878,-0.011097487590090995,9.0,421.0,215.0,206.0,"Senior Citizens’ Freedom to Work Act, On Passage"
Passed,0.0439022199067932,-0.010653329059436861,14.0,418.0,216.0,202.0,"Iran Nonproliferation Act, On agreeing to the Senate amendments"
Passed,0.03939115842908912,-0.009612489619068496,11.0,373.0,192.0,181.0,"Government Waste Corrections Act, On Passage"
Passed,0.03971024295861607,-0.009083280976472366,15.0,375.0,195.0,180.0,"To redesignate the Facility of the U.S. Postal Service in Greenville, South Carolina as the Keith D. Oglesby Station, Suspend the rules and pass"
Passed,0.0394471937366391,-0.00891287099941767,17.0,373.0,195.0,178.0,"To designate the U.S. Postal Office in Charleston, South Carolina as the Marybelle H. Howe Post Office, Suspend the rules and pass, as amended"
Passed,0.04042605571458975,-0.008930706215768984,15.0,383.0,199.0,184.0,"Whereas the United States had never recognized the forcible incorporation of the Baltic states of Estonia, Latvia, and Lithuania into the former Soviet Union, Suspend the rules and agree"
Passed,0.0402345578716524,-0.00912535392355895,15.0,381.0,198.0,183.0,"Recognizing the 50th Anniversary of the Korean War and the Service by Members of the Armed Forces, On Motion to Suspend the Rules and Pass, as Amended"
Passed,0.042274692479794596,-0.010749571331924591,10.0,404.0,207.0,197.0,"Providing for consideration of H.R. 1695; to provide for the conveyance of certain Federal public lands in the Ivanpah Valley, Nevada, On Agreeing to the Resolution"
Agreed to,0.04323263527704406,-0.012481048826857575,-2.0,412.0,205.0,207.0,", On Agreeing to the Amendment"
Passed,0.043475922858269754,-0.01215429793389704,1.0,417.0,209.0,208.0,"Ivanpah Valley Airport Public Lands Transfer Act, On Passage"
Passed,0.042237154696134864,-0.010129702827257073,15.0,403.0,209.0,194.0,"Designating the Joel T. Broyhill Post Office Building, On Motion to Suspend the Rules and Pass"
Passed,0.04173836659747565,-0.010148823935509949,14.0,398.0,206.0,192.0,"Designating the Joseph L. Fisher Post Office Building, On Motion to Suspend the Rules and Pass"
Passed,0.04160435081314633,-0.013401466068233349,-9.0,397.0,194.0,203.0,"Small Business Authorization Act, On Passage"
Passed,0.041251878251093096,-0.00866941957362239,22.0,390.0,206.0,184.0,"Recognizing the importance of families and children in the United States and expressing support for the goals and ideas of National Family Day, On Motion to Suspend the rules and Agree"
Passed,0.041321410620825165,-0.008742240874873448,20.0,388.0,204.0,184.0,"Expressing the sense of the House of Representatives that the National Park Service should take full advantage of support services offered by the Department of Defense, On Motion to Suspend the Rules and Agree"
Passed,0.04327362221294646,-0.011894195113196122,3.0,415.0,209.0,206.0,"Designating the E. Ross Adair Federal Building and U.S. Courthouse, On Motion to Suspend the Rules and Pass"
Passed,0.04346263426015893,-0.011946420315006695,3.0,415.0,209.0,206.0,"Congratulating the people of Taiwan for the successful conclusion of presidential elections on March 18, 2000 and reaffirming United States policy toward Taiwan and the People’s Republic of China, Suspend the Rules and Agree, as Amended"
Passed,0.0430748360070313,-0.012199873236008733,0.0,414.0,207.0,207.0,"Commending the Library of Congress and its staff for 200 years of outstanding service to the Congress and the Nation, On Motion to Suspend the Rules and Agree"
Passed,0.043342808017483664,-0.011979425467532619,3.0,417.0,210.0,207.0,"Senior Citizens’ Freedom to Work Act, Agree to Senate Amendment"
Agreed to,0.043629259976503645,-0.011154303544776605,10.0,418.0,214.0,204.0,", On Agreeing to the Amendment"
Passed,0.0377077272148806,-0.009203070329537136,10.0,354.0,182.0,172.0,"Mutual Fund Tax Awareness Act, On Motion to Suspend the Rules and Pass, as Amended"
Agreed to,0.043645504162956116,-0.011507534573079575,6.0,418.0,212.0,206.0,", On Agreeing to the Amendment"
Passed,0.04397343503477778,-0.010673627776397262,13.0,419.0,216.0,203.0,"Wildlife and Sport Fish Restoration Progrms Improvement Act, On Passage"
Passed,0.04270328532467,-0.013345276231005832,-9.0,407.0,199.0,208.0,"American Homeownership and Economic Opportunity Act, On Passage"
Passed,0.04148878917860976,-0.010539612199020148,9.0,395.0,202.0,193.0,"Declaring the “Person of the Century” for the 20th century to have been the American G.I., On Motion to Suspend the Rules and Agree, as Amended"
Passed,0.04168218334357395,-0.010433585542667939,11.0,397.0,204.0,193.0,"Honoring the members of the Armed Forces and Federal civilian employees who served the Nation during the Vietnam era in defense of United States national security interests, On Motion to Suspend the Rules and Agree"
Passed,0.04145579559617771,-0.010543960924053561,10.0,394.0,202.0,192.0,"Freedom to E-File Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,0.044064342651185015,-0.011246657077642906,10.0,422.0,216.0,206.0,"Taxpayer Bill of Rights 2000, On Motion to Suspend the Rules and Pass, as Amended"
Passed,0.0399042021185749,-0.014948995622998508,-22.0,384.0,181.0,203.0,"Juvenile Justice Reform Act, On motion to instruct conferees"
Passed,0.04346686329858193,-0.011890516433441214,3.0,413.0,208.0,205.0,"Clean Lakes Program Reauthorization, On Passage"
Passed,0.04307731740941743,-0.012537109217609366,-3.0,409.0,203.0,206.0,"Chesapeake Bay Restoration Act, On Passage"
Passed,0.04259409936698277,-0.012606786329138732,-4.0,406.0,201.0,205.0,"To extend energy conservation programs under the Energy Policy and Conservation Act through fiscal year 2003, Suspend the rules and pass, as amended"
Passed,0.042386842411334766,-0.012024933731454008,1.0,407.0,204.0,203.0,"Recognizing and Commending Our Nation’s Federal Workforce for Successfully Preparing Our Nation to Withstand any Catastrophic Year 2000 Computer Problem Disruptions, On Motion to Suspend the Rules and Agree"
Passed,0.040966725980496874,-0.013305053931694087,-13.0,389.0,188.0,201.0,"Golden Spike/Crossroads of the West National Heritage Area, On Motion to Suspend the Rules and Pass, as Amended"
Passed,0.04308761571199076,-0.011610747469424214,3.0,411.0,207.0,204.0,"Relating to continuing human rights violations and political oppression in the Socialist Republic of Vietnam 25 years after the fall of South Vietnam to Communist forces, On Motion to Suspend the Rules and Agree, as Amended"
Passed,0.04248076903200637,-0.012035363430100551,-2.0,406.0,202.0,204.0,"Expressing the condemnation of the continued egregious violations of human rights in the Republic of Belarus, On Motion to Suspend the Rules and Agree"
Passed,0.043701843778849093,-0.01138494831052647,8.0,418.0,213.0,205.0,"Continued Submission of Certain Species Conservation Reports, On Motion to Suspend the Rules and Pass"
Passed,0.04375576346635215,-0.011745606556826596,5.0,419.0,212.0,207.0,"Disabled Veterans’ LIFE Memorial Foundation, On Motion to Suspend the Rules and Pass"
Passed,0.043041560340887845,-0.012831364054766016,-4.0,410.0,203.0,207.0,"Lake Pontchartrain Basin Restoration Act, On Passage"
